112,4662.1688
116,4724.0526
122,4790.4879
128,4858.2624
134,4923.0585
139,4981.8019
145,5033.0268
151,5077.5788
157,5117.5507
166,5156.1833
175,5195.7747
183,5237.132
190,5279.3151
200,5320.7744
207,5359.2235
204,5393.139
212,5422.0033
218,5446.7709
226,5469.1866
233,5491.711
236,5516.151
237,5543.0278
242,5571.894
243,5602.3775
246,5633.7675
248,5665.4703
253,5697.6126
258,5730.2642
268,5762.7106
278,5794.0199
285,5823.5716
287,5855.9309
290,5885.1216
287,5910.6758
292,5932.72
297,5954.1904
300,5975.3095
306,5996.4841
316,6018.6284
325,6049.6708
336,6091.25
340,6135.7432
341,6180.5266
342,6224.488
349,6270.4901
352,6317.9356
358,6362.1376
365,6401.6227
363,6437.4979
351,6470.7035
356,6502.7505
362,6534.2789
362,6565.9814
362,6599.8685
364,6631.2067
366,6654.8272
369,6672.4104
377,6691.802
382,6710.193
388,6724.8926
357,6739
