name,color
Violet,#EE82EE
SpringGreen2,#00EE76
Aquamarine3,#66CDAA
DarkOrange3,#CD6600
Brown1,#FF4040
DarkBlue,#00008B
Coral4,#8B3E2F
Blue3,#0000CD
SteelBlue1,#63B8FF
Khaki3,#CDC673
PaleGreen3,#7CCD7C
Plum3,#CD96CD
CadetBlue3,#7AC5CD
Khaki4,#8B864E
