number,Type,Name,Traffic,Line,City,District
256,Metro,MONCEAU,902347,2,Paris,17
295,Metro,SAINT-FARGEAU,339164,3bis,Paris,8
262,Metro,CLUNY LA SORBONNE,842980,10,Paris,5
222,Metro,MICHEL-ANGE-MOLITOR,1180095,"9, 10",Paris,16
257,Metro,SAINT-JACQUES,900155,6,Paris,13
263,Metro,MABILLON,839743,10,Paris,6
224,Metro,BEL AIR,1168869,6,Paris,12
258,Metro,MOUTON-DUVERNET,870679,4,Paris,14
277,Metro,TEMPLE,731355,3,Paris,2
235,Metro,PORTE D'IVRY,1055770,7,Paris,13
270,Metro,PIERRE CURIE,780043,7,Ivry,other
282,Metro,CAMPO-FORMIO,664119,5,Paris,13
237,Metro,MALAKOFF-RUE ETIENNE DOLET,1054998,13,Malakoff,other
275,Metro,CITE,741182,4,Paris,4
286,Metro,VARENNE,559530,13,Paris,7
242,Metro,CHATEAU-LANDON,1009087,7,Paris,10
276,Metro,LIEGE,740144,13,Paris,8
293,Metro,FALGUIERE,479988,12,Paris,15
244,Metro,NOTRE-DAME-DES-CHAMPS,996587,12,Paris,6
280,Metro,CARDINAL LEMOINE,710141,10,Paris,5
304,Metro,EGLISE D'AUTEUIL,95182,10,Paris,16
248,Metro,PHILIPPE AUGUSTE,925913,2,Paris,11
287,Metro,QUAI DE LA RAPEE,525558,5,Paris,12
305,Metro,CLICHY SAINT-OUEN,75809,14,Saint-ouen,other
252,Metro,RUE DU BAC,916367,12,Paris,7
289,Metro,SAINT-GEORGES,523670,12,Paris,9
254,Metro,MICHEL BIZOT,910938,8,Paris,12
296,Metro,CHARDON-LAGACHE,331901,10,Paris,16
261,Metro,FUNICULAIRE,843984,2,Paris,18
303,Metro,PONT CARDINET,112229,14,Paris,17
268,Metro,SEGUR,804110,10,Paris,15
3,RER,CHATELET-LES HALLES-RER,18301464,"A, B",Paris,1
271,Metro,FELIX FAURE,776924,8,Paris,15
278,Metro,MIRABEAU,724167,10,Paris,16
279,Metro,PONT MARIE,721712,7,Paris,4
283,Metro,PORTE DE CHOISY,647656,7,Paris,13
288,Metro,VANEAU,524526,10,Paris,7
291,Metro,BOTZARIS,511339,7bis,Paris,19
292,Metro,RENNES,506779,12,Paris,6
299,Metro,PORTE D'AUTEUIL,262784,10,Paris,16
301,Metro,PRE-SAINT-GERVAIS,226935,7bis,Paris,19
